subject,question,option1,option2,option3,option4,answer
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
anatomy, Which bone is the longest and strongest bone in the human body?,Femur,Tibia,Fibula,Humerus,Femur
anatomy, How many bones are present in an adult human skeleton?,206,208,300,212,206
anatomy, The human heart has how many chambers?,2,3,4,5,4
anatomy, Which is the largest organ of the human body?,Liver,Skin,Brain,Lung,Skin
anatomy, Which muscle is known as the strongest muscle based on its weight?,Masseter,Gluteus maximus,Biceps,Sartorius,Masseter
anatomy, How many pairs of ribs are there in a normal human body?,10,12,14,16,12
anatomy, What is the name of the outer layer of the skin?,Dermis,Epidermis,Subcutaneous,Hypodermis,Epidermis
anatomy, Which part of the human brain controls balance and posture?,Cerebrum,Cerebellum,Medulla oblongata,Pons,Cerebellum
anatomy, What is the total number of temporary (milk) teeth in a child?,20,24,28,32,20
anatomy, Which structural protein makes up hair and nails?,Collagen,Keratin,Elastin,Myosin,Keratin
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Whch gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology,Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
physiology, What is the normal lifespan of a human Red Blood Cell (RBC)?,120 days,90 days,60 days,150 days,120 days
physiology, What is the primary site of nutrient absorption in the digestive system?,Stomach,Small Intestine,Large Intestine,Esophagus,Small Intestine
physiology, Which gas is primarily transported bound to hemoglobin?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
physiology, What is the normal resting blood pressure of a healthy adult?,120/80 mmHg,140/90 mmHg,100/60 mmHg,130/80 mmHg,120/80 mmHg
physiology, Which hormone regulates blood sugar levels by lowering glucose?,Glucagon,Insulin,Cortisol,Adrenaline,Insulin
physiology, What is the functional unit of the human kidney?,Nephron,Neuron,Alveoli,Ostiole,Nephron
physiology, Which enzyme is found in human saliva that breaks down starch?,Pepsin,Amylase,Lipase,Trypsin,Amylase
physiology, What is the normal pH range of human arterial blood?,7.0 - 7.15,7.35 - 7.45,7.5 - 7.6,6.8 - 6.9,7.35 - 7.45
physiology, Which gland is known as the master gland of the endocrine system?,Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,Pituitary gland
physiology, Which structure prevents food from entering the windpipe?,Epiglottis,Pharynx,Larynx,Esophagus,Epiglottis
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology,What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Which drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
pharmacology, Which drug is a proton pump inhibitor (PPI) used to reduce stomach acid?,Omeprazole,Ranitidine,Metoclopramide,Misoprostol,Omeprazole
pharmacology, What is the antidote for an overdose of Acetaminophen (Paracetamol)?,N-acetylcysteine,Naloxone,Flumazenil,Atropine,N-acetylcysteine
pharmacology, Which category of drugs is primarily used to treat severe depression?,Antidepressants,Antipsychotics,Anxiolytics,Sedatives,Antidepressants
pharmacology, What is the mechanism of action of Paracetamol?,COX inhibition in CNS,Opioid receptor agonist,Beta blocker,Calcium channel blocker,COX inhibition in CNS
pharmacology, Which of the following is classified as a broad-spectrum antibiotic?,Amoxicillin,Penicillin G,Nystatin,Acyclovir,Amoxicillin
pharmacology, What is the primary medical use of Insulin?,Diabetes Mellitus,Hypertension,Asthma,Hyperlipidemia,Diabetes Mellitus
pharmacology, Wich drug is a well-known anticoagulant often called a blood thinner?,Warfarin,Aspirin,Ibuprofen,Metformin,Warfarin
pharmacology, What type of drug is used to lower high blood pressure?,Antihypertensive,Analgesic,Antipyretic,Antibiotic,Antihypertensive
pharmacology, Which of the following medications is a fast-acting bronchodilator for asthma?,Albuterol,Metoprolol,Omeprazole,Atorvastatin,Albuterol
pharmacology, What is a common side effect of first-generation antihistamines?,Drowsiness,Insomnia,Hypertension,Diarrhea,Drowsiness
